"ASX code","Company name","Listing date","GICs industry group","Market Cap"
"EMV","EMVISION MEDICAL DEVICES LTD","2018-12-13","Health Care Equipment & Services",141701872
"ENA","ENSURANCE LTD","2011-09-23","Insurance",22446234
"ENN","ELANOR INVESTORS GROUP","2014-07-11","Consumer Services",237735857
"ENR","ENCOUNTER RESOURCES LIMITED","2006-03-24","Materials",42824272
"ENT","ENTERPRISE METALS LIMITED","2007-06-20","Materials",9025056
"ENV","ENOVA MINING LIMITED","2007-04-13","Materials",6095859
"ENX","ENEGEX LIMITED","2013-10-08","Materials",9986423
"EOF","ECOFIBRE LIMITED","2019-03-29","Pharmaceuticals, Biotechnology & Life Sciences",129122806
"EOL","ENERGY ONE LIMITED","2007-01-15","Software & Services",145385180
"EOS","ELECTRO OPTIC SYSTEMS HOLDINGS LIMITED","2000-10-23","Capital Goods",295037318
"EP1","E&P FINANCIAL GROUP LIMITED","2018-05-14","Diversified Financials",124782047
"EPM","ECLIPSE METALS LIMITED.","2011-02-17","Energy",49949287
"EPN","EPSILON HEALTHCARE LIMITED","2017-05-04","Pharmaceuticals, Biotechnology & Life Sciences",7931682
"EPX","EP&T GLOBAL LIMITED","2021-05-12","Software & Services",21671955
"EPY","EARLYPAY LTD","2010-02-23","Diversified Financials",154823021
"EQE","EQUUS MINING LIMITED","1995-12-12","Materials",25241158
"EQN","EQUINOX RESOURCES LIMITED.","2021-10-13","Materials",17190000
"EQR","EQ RESOURCES LIMITED","2006-06-06","Materials",76618655
"EQS","EQUITY STORY GROUP LTD","2022-05-03","Diversified Financials",10164379
"EQT","EQT HOLDINGS LIMITED","1985-08-06","Diversified Financials",566165571
"EQX","EQUATORIAL RESOURCES LIMITED","1987-05-14","Materials",24559344
"ERA","ENERGY RESOURCES OF AUSTRALIA LIMITED","1980-11-19","Energy",1070501127
"ERD","EROAD LIMITED","2020-09-18","Technology Hardware & Equipment",248262271
"ERF","ELANOR RETAIL PROPERTY FUND","2016-11-09","Real Estate",134098361
"ERG","ENECO REFRESH LTD","2006-03-29","Food, Beverage & Tobacco",7081317
"ERL","EMPIRE RESOURCES LIMITED","2007-02-01","Materials",10385721
"ERM","EMMERSON RESOURCES LIMITED","2007-12-17","Materials",51565691
"ERW","ERRAWARRA RESOURCES LTD","2020-12-14","Materials",8188783
"ESH","ESPORTS MOGUL LIMITED","2011-10-19","Media & Entertainment",12887976
"ESK","ETHERSTACK PLC","2012-09-07","Software & Services",54248593
"ESR","ESTRELLA RESOURCES LIMITED","2012-05-09","Materials",27615675
"ESS","ESSENTIAL METALS LIMITED","2003-12-04","Materials",127822623
"EUR","EUROPEAN LITHIUM LIMITED","2010-12-02","Materials",109250177
"EV1","EVOLUTION ENERGY MINERALS LIMITED","2021-11-16","Materials",67987500
"EVE","EVE HEALTH GROUP LIMITED.","2004-04-08","Diversified Financials",6464713
"EVN","EVOLUTION MINING LIMITED","2002-08-20","Materials",6415526891
"EVO","EVOLVE EDUCATION GROUP LIMITED","2014-12-05","Consumer Services",110089144
"EVR","EV RESOURCES LTD","1994-12-07","Materials",38891331
"EVS","ENVIROSUITE LIMITED","2008-02-11","Software & Services",188244381
"EVT","EVENT HOSPITALITY AND ENTERTAINMENT LTD","1962-06-30","Media & Entertainment",2393753487
"EVZ","EVZ LIMITED","1985-04-26","Capital Goods",21626265
"EWC","ENERGY WORLD CORPORATION LTD","1988-12-08","Utilities",182569428
"EX1","EXOPHARM LIMITED","2018-12-18","Pharmaceuticals, Biotechnology & Life Sciences",25939903
"EXL","ELIXINOL WELLNESS LIMITED","2018-01-08","Household & Personal Products",15497013
"EXP","EXPERIENCE CO LIMITED","2015-03-27","Consumer Services",188068187
"EXR","ELIXIR ENERGY LIMITED","2004-07-19","Energy",133760006
"EYE","NOVA EYE MEDICAL LIMITED","1987-10-12","Health Care Equipment & Services",32027554
"EZL","EUROZ HARTLEYS GROUP LIMITED","1971-08-02","Diversified Financials",331459083
"EZZ","EZZ LIFE SCIENCE HOLDINGS LIMITED","2021-03-03","Retailing",15393600
"FAL","FALCON METALS LTD","2021-12-22","Materials",49560000
"FAR","FAR LIMITED","1986-01-23","Energy",80830299
"FAU","FIRST AU LIMITED","1970-01-01","Materials",10645842
"FBR","FBR LTD","2001-02-08","Capital Goods",68006577
"FBU","FLETCHER BUILDING LIMITED","2001-03-26","Materials",4056524630
"FCL","FINEOS CORPORATION HOLDINGS PLC","2019-08-16","Software & Services",498240268
"FCT","FIRSTWAVE CLOUD TECHNOLOGY LIMITED","2011-05-11","Software & Services",88104758
"FDR","FINDER ENERGY HOLDINGS LIMITED","2022-04-08","Energy",26775000
"FDV","FRONTIER DIGITAL VENTURES LIMITED","2016-08-26","Media & Entertainment",364112398
"FE8","FASTER ENTERPRISES LTD","2016-11-21","Real Estate","N/A"
"FEG","FAR EAST GOLD LTD","2022-03-28","Materials",80931688
"FEX","FENIX RESOURCES LTD","2008-08-04","Materials",152283106
"FFC","FARMAFORCE LIMITED","2015-10-27","Health Care Equipment & Services","N/A"
"FFF","FORBIDDEN FOODS LIMITED","2020-08-31","Food, Beverage & Tobacco",11891357
"FFG","FATFISH GROUP LIMITED","1995-11-23","Diversified Financials",30047766
"FFI","FFI HOLDINGS LIMITED","1987-01-15","Food, Beverage & Tobacco",68328330
"FFT","FUTURE FIRST TECHNOLOGIES LTD","2013-12-02","Commercial & Professional Services",22775379
"FFX","FIREFINCH LIMITED","2006-12-06","Materials",1051306467
"FG1","FLYNN GOLD LIMITED","2021-06-17","Materials",13787071
"FGG","FUTURE GENERATION GLOBAL INVESTMENT COMPANY LIMITED","2015-09-10","Not Applic",492015350
"FGL","FRUGL GROUP LIMITED","2004-08-10","Software & Services",3023250
"FGR","FIRST GRAPHENE LIMITED","1994-08-08","Materials",75604560
"FGX","FUTURE GENERATION INVESTMENT COMPANY LIMITED","1997-03-06","Not Applic",508873064
"FHE","FRONTIER ENERGY LIMITED","2009-12-18","Materials",71735015
"FHS","FREEHILL MINING LIMITED.","2017-01-16","Materials",33418328
"FID","FIDUCIAN GROUP LIMITED","2015-02-09","Diversified Financials",230101424
"FIJ","FIJI KAVA LIMITED","2018-12-20","Household & Personal Products",9497013
"FIN","FIN RESOURCES LIMITED","1989-11-02","Materials",12240906
"FLC","FLUENCE CORPORATION LIMITED","2007-12-18","Capital Goods",140592158
"FLN","FREELANCER LIMITED","2013-11-15","Commercial & Professional Services",153855656
"FLT","FLIGHT CENTRE TRAVEL GROUP LIMITED","1995-12-01","Consumer Services",4039268055
"FLX","FELIX GROUP HOLDINGS LTD","2021-01-12","Software & Services",40496914
"FME","FUTURE METALS NL","2007-08-16","Energy",59252001
"FMG","FORTESCUE METALS GROUP LTD","1987-03-19","Materials",59731919409
"FML","FOCUS MINERALS LTD","2000-09-13","Materials",54446143
"FMS","FLINDERS MINES LIMITED","2002-02-20","Materials",75981860
"FNT","FRONTIER RESOURCES LIMITED","2003-04-09","Materials",21783465
"FNX","FINEXIA FINANCIAL GROUP LIMITED","2006-12-21","Diversified Financials",10536962
"FOD","THE FOOD REVOLUTION GROUP LIMITED","2012-06-29","Food, Beverage & Tobacco",25562565
"FOR","FORAGER AUSTRALIAN SHARES FUND","2016-12-16","Not Applic",158399393
"FOS","FOS CAPITAL LTD","2021-06-07","Capital Goods",10650412
"FPC","FAT PROPHETS GLOBAL CONTRARIAN FUND LTD","2017-03-22","Not Applic",42715999
"FPH","FISHER & PAYKEL HEALTHCARE CORPORATION LIMITED","2001-11-21","Health Care Equipment & Services",10774804278
"FPP","FAT PROPHETS GLOBAL PROPERTY FUND","2017-10-10","Not Applic",21297742
"FRB","FIREBIRD METALS LIMITED","2021-03-18","Materials",18009750
"FRE","FIREBRICK PHARMA LIMITED","2022-01-28","Pharmaceuticals, Biotechnology & Life Sciences",59095472
"FRI","FINBAR GROUP LIMITED","1994-08-05","Real Estate",198649894
"FRM","FARM PRIDE FOODS LIMITED","1997-12-19","Food, Beverage & Tobacco",8277026
"FRS","FORRESTANIA RESOURCES LIMITED","2021-09-30","Materials",10720249
"FRX","FLEXIROAM LIMITED","2015-06-16","Telecommunication Services",23450516
"FSA","FSA GROUP LIMITED","2001-01-11","Diversified Financials",151183088
"FSF","FONTERRA SHAREHOLDERS' FUND","2012-11-30","Food, Beverage & Tobacco",269617481
"FSG","FIELD SOLUTIONS HOLDINGS LIMITED","2005-04-26","Telecommunication Services",103105117
"FSI","FLAGSHIP INVESTMENTS LIMITED","2000-12-20","Not Applic",51714526
"FTC","FINTECH CHAIN LIMITED","2012-11-27","Software & Services",23427705
"FTL","FIRETAIL RESOURCES LIMITED","2022-04-13","Materials",25025000
"FTZ","FERTOZ LIMITED","2013-09-02","Materials",43444836
"FWD","FLEETWOOD LIMITED","1987-04-15","Consumer Durables & Apparel",155427924
"FXG","FELIX GOLD LIMITED","2022-01-31","Materials",24034516
"FYI","FYI RESOURCES LIMITED","1994-01-20","Materials",71344180
"FZO","FAMILY ZONE CYBER SAFETY LIMITED","2016-08-29","Software & Services",291781740
"FZR","FITZROY RIVER CORPORATION LTD","1998-03-04","Energy",16732909
"G1A","GALENA MINING LIMITED","2017-09-07","Materials",95281071
"G50","GOLD 50 LIMITED","2021-08-06","Materials",20055000
"G6M","GROUP 6 METALS LIMITED","1967-09-21","Materials",163996226
"G79","GOLDOZ LIMITED","2002-05-10","Materials","N/A"
"G88","GOLDEN MILE RESOURCES LTD","2017-06-19","Materials",10594096
"GAL","GALILEO MINING LTD","2018-05-29","Materials",181881941
"GAP","GALE PACIFIC LIMITED","2000-12-14","Consumer Durables & Apparel",95355599
"GAS","STATE GAS LIMITED","2017-10-10","Energy",52955561
"GBE","GLOBE METALS & MINING LIMITED","2005-12-09","Materials",37739712
"GBR","GREAT BOULDER RESOURCES LIMITED","2016-11-18","Materials",41765345
"GBZ","GBM RESOURCES LIMITED","2007-10-24","Materials",48685014
"GC1","GLENNON SMALL COMPANIES LIMITED","2015-08-21","Not Applic",36941056
"GCI","GRYPHON CAPITAL INCOME TRUST","2018-05-25","Not Applic",498481942
"GCR","GOLDEN CROSS RESOURCES LTD","1996-03-27","Materials",10643384
"GCX","GCX METALS LIMITED","2012-12-20","Energy","N/A"
"GCY","GASCOYNE RESOURCES LIMITED","2009-12-11","Materials",110740253
"GDA","GOOD DRINKS AUSTRALIA LTD","2006-12-13","Food, Beverage & Tobacco",94328670
"GDC","GLOBAL DATA CENTRE GROUP","2019-10-31","Not Applic",113591016
"GDF","GARDA PROPERTY GROUP","2015-07-02","Real Estate",332360767
"GDG","GENERATION DEVELOPMENT GROUP LIMITED","2007-12-11","Insurance",254875071
"GDI","GDI PROPERTY GROUP","2013-12-17","Real Estate",552689573
"GED","GOLDEN DEEPS LIMITED.","1986-12-04","Materials",18482550
"GEM","G8 EDUCATION LIMITED","2007-12-05","Consumer Services",961788008
"GEN","GENMIN LIMITED","2021-03-10","Materials",77084678
"GES","GENESIS RESOURCES LIMITED","2009-10-27","Materials",8611254
"GFL","GLOBAL MASTERS FUND LIMITED","2006-05-16","Not Applic",23805413
"GFN","GEFEN INTERNATIONAL A.I. LTD","2021-07-21","Retailing",19217978
"GGE","GRAND GULF ENERGY LIMITED","1998-03-20","Energy",57224595
"GGG","GREENLAND MINERALS LIMITED","2006-06-20","Materials",87365027
"GGX","GAS2GRID LIMITED","2005-05-13","Energy",10222755
"GIB","GIBB RIVER DIAMONDS LIMITED","2008-07-01","Materials",11633019
"GL1","GLOBAL LITHIUM RESOURCES LIMITED","2021-05-06","Materials",339910881
"GLA","GLADIATOR RESOURCES LIMITED","2006-06-27","Materials",10734568
"GLB","GLOBE INTERNATIONAL LIMITED","2001-05-24","Consumer Durables & Apparel",213538663
"GLE","GLG CORP LTD","2005-12-14","Consumer Durables & Apparel",22230000
"GLH","GLOBAL HEALTH LIMITED","2000-04-04","Health Care Equipment & Services",14162442
"GLL","GALILEE ENERGY LIMITED","1996-02-15","Energy",104946625
"GLN","GALAN LITHIUM LIMITED","2011-06-08","Materials",427681104
"GLV","GLOBAL OIL & GAS LIMITED","2005-05-25","Energy",52453932
"GMA","GENWORTH MORTGAGE INSURANCE AUSTRALIA LIMITED","2014-05-20","Banks",1203221645
"GMD","GENESIS MINERALS LIMITED","2007-08-02","Materials",337963541
"GME","GME RESOURCES LIMITED","1980-08-21","Materials",68308938
"GMG","GOODMAN GROUP","2005-02-02","Real Estate",35776462962
"GML","GATEWAY MINING LIMITED","1971-08-02","Materials",22601064
"GMN","GOLD MOUNTAIN LIMITED","2011-09-02","Materials",6562320
"GMR","GOLDEN RIM RESOURCES LTD","1987-08-13","Materials",22287851
"GNC","GRAINCORP LIMITED","1998-03-30","Food & Staples Retailing",2283979167
"GNE","GENESIS ENERGY LIMITED","2014-04-17","Utilities",2582893206
"GNG","GR ENGINEERING SERVICES LIMITED","2011-04-19","Materials",299085269
"GNM","GREAT NORTHERN MINERALS LIMITED","2008-03-05","Materials",8545255
"GNP","GENUSPLUS GROUP LTD","2020-12-14","Capital Goods",209451618
"GNX","GENEX POWER LIMITED","2015-07-08","Utilities",180073028
"GO2","THE GO2 PEOPLE LTD","2017-10-31","Commercial & Professional Services",6506212
"GOR","GOLD ROAD RESOURCES LIMITED","2006-07-04","Materials",1139987857
"GOW","GOWING BROS LIMITED","1962-07-31","Diversified Financials",155088801
"GOZ","GROWTHPOINT PROPERTIES AUSTRALIA","2007-07-04","Real Estate",2970496483
"GPR","GEOPACIFIC RESOURCES LTD","2006-05-09","Materials","N/A"
"GPS","GPS ALLIANCE HOLDINGS LIMITED","2013-07-02","Real Estate","N/A"
"GPT","GPT GROUP","1971-04-01","Real Estate",9194771664
"GQG","GQG PARTNERS INC.","2021-10-26","Diversified Financials",4163455662
"GRE","GREENTECH METALS LIMITED","2022-01-04","Materials",8190000
"GRL","GODOLPHIN RESOURCES LIMITED","2019-12-18","Materials",10094466
"GRR","GRANGE RESOURCES LIMITED.","1986-03-27","Materials",1672354419
"GRV","GREENVALE MINING LTD","1971-07-28","Energy",71450069
"GRX","GREENX METALS LIMITED","1993-09-06","Materials",46919786
"GSM","GOLDEN STATE MINING LIMITED","2018-11-08","Materials",6540323
"GSN","GREAT SOUTHERN MINING LIMITED","2011-04-14","Materials",21294683
"GSR","GREENSTONE RESOURCES LIMITED","2000-12-12","Materials",0
"GSS","GENETIC SIGNATURES LIMITED","2015-03-31","Pharmaceuticals, Biotechnology & Life Sciences",186401795
"GT1","GREEN TECHNOLOGY METALS LIMITED","2021-11-10","Materials",193537569
"GTE","GREAT WESTERN EXPLORATION LIMITED.","2007-06-05","Materials",13619769
"GTG","GENETIC TECHNOLOGIES LIMITED","1987-07-30","Pharmaceuticals, Biotechnology & Life Sciences",27701895
"GTI","GRATIFII LIMITED","2008-07-17","Software & Services",18154621
"GTK","GENTRACK GROUP LIMITED","2014-06-25","Software & Services",137154874
"GTN","GTN LIMITED","2016-06-01","Media & Entertainment",106563125
"GTR","GTI RESOURCES LIMITED","2007-08-10","Materials",21915814
"GUD","G.U.D. HOLDINGS LIMITED","1962-06-30","Automobiles & Components",1661148466
"GUL","GULLEWA LIMITED","1980-06-19","Materials",14087609
"GVF","GLOBAL VALUE FUND LIMITED","2014-07-21","Not Applic",202114571
"GW1","GREENWING RESOURCES LTD","2005-10-20","Materials",40055388
"GWA","GWA GROUP LIMITED.","1993-05-20","Capital Goods",559582788
"GWR","GWR GROUP LIMITED","2004-12-24","Materials",40152082
"HAL","HALO TECHNOLOGIES HOLDINGS LTD","2022-04-26","Diversified Financials",82883603
"HAR","HARANGA RESOURCES LIMITED.","2022-01-27","Materials",9619246
"HAS","HASTINGS TECHNOLOGY METALS LTD","2008-02-20","Materials",507236315
"HAV","HAVILAH RESOURCES LIMITED","2002-03-21","Materials",85196858
"HAW","HAWTHORN RESOURCES LIMITED","1986-07-03","Materials",38354295
"HCD","HYDROCARBON DYNAMICS LIMITED","2006-04-21","Energy",13502392
"HCH","HOT CHILI LIMITED","2010-05-03","Materials",134188971
"HCT","HOLISTA COLLTECH LIMITED","2004-02-26","Household & Personal Products",7985124
"HCW","HEALTHCO HEALTHCARE AND WELLNESS REIT","2021-09-06","Real Estate",552761142
"HDN","HOMECO DAILY NEEDS REIT","2020-11-23","Real Estate",2717450702
"HE8","HELIOS ENERGY LTD","2010-10-20","Energy",260404944
"HFR","HIGHFIELD RESOURCES LIMITED","2012-02-07","Materials",327986898
"HFY","HUBIFY LIMITED","2017-01-12","Telecommunication Services",25555970
"HGH","HEARTLAND GROUP HOLDINGS LIMITED","2018-11-01","Banks",1185807640
"HGL","HUDSON INVESTMENT GROUP LIMITED","1994-06-09","Real Estate",19588779
"HGO","HILLGROVE RESOURCES LIMITED","1994-07-22","Materials",76328789
"HGV","HYGROVEST LIMITED","2015-01-22","Not Applic",13797239
"HHI","HEALTH HOUSE INTERNATIONAL LIMITED","2011-07-28","Health Care Equipment & Services",2495145
"HHR","HARTSHEAD RESOURCES NL","2012-02-14","Energy",37095443
"HHY","HHY FUND","2005-04-11","Not Applic","N/A"
"HIL","HILLS LIMITED","1962-06-30","Technology Hardware & Equipment",21110683
"HIO","HAWSONS IRON LTD","2007-11-14","Materials",436182300
"HIQ","HITIQ LIMITED","2021-06-16","Health Care Equipment & Services",8077560
"HIT","HITECH GROUP AUSTRALIA LIMITED","2000-04-17","Commercial & Professional Services",81689500
"HLA","HEALTHIA LIMITED","2018-09-11","Health Care Equipment & Services",204023287
"HLF","HALO FOOD CO. LIMITED",,,22843875
"HLO","HELLOWORLD TRAVEL LIMITED","2000-09-13","Consumer Services",359664600
"HLS","HEALIUS LIMITED","1998-07-03","Health Care Equipment & Services",2425445222
"HLX","HELIX RESOURCES LIMITED","1986-05-22","Materials",17260990
"HM1","HEARTS AND MINDS INVESTMENTS LIMITED","2018-11-14","Not Applic",510385902
"HMC","HOME CONSORTIUM LIMITED","2019-10-14","Real Estate",1719806206
"HMD","HERAMED LIMITED","2018-12-12","Health Care Equipment & Services",28604855
"HMG","HAMELIN GOLD LIMITED","2021-11-05","Materials",15400000
"HMI","HIREMII LIMITED","2021-05-11","Commercial & Professional Services",5618276
"HMX","HAMMER METALS LIMITED","2003-02-25","Materials",57049624
"HMY","HARMONEY CORP LIMITED","2020-11-19","Diversified Financials",119707472
"HNG","HANCOCK & GORE LTD","1971-08-24","Capital Goods",67308698
"HNR","HANNANS LTD","2003-12-05","Materials",62550515
"HOR","HORSESHOE METALS LIMITED","2010-07-29","Materials",16364786
"HPC","THE HYDRATION PHARMACEUTICALS COMPANY LIMITED","2021-12-14","Household & Personal Products",40551879
"HPG","HIPAGES GROUP HOLDINGS LTD","2020-11-12","Media & Entertainment",170679633
"HPI","HOTEL PROPERTY INVESTMENTS","2013-12-10","Real Estate",681130310
"HPP","HEALTH AND PLANT PROTEIN GROUP LIMITED","1989-12-14","Food, Beverage & Tobacco",15352592
"HPR","HIGH PEAK ROYALTIES LIMITED","2007-03-30","Energy",12119471
"HRL","HRL HOLDINGS LTD","2007-11-14","Commercial & Professional Services",45483080
"HRN","HORIZON GOLD LIMITED","2016-12-21","Materials",36808746
"HRNN","HORIZON GOLD LIMITED","2016-12-21","Materials",36808746
"HRR","HERON RESOURCES LIMITED","1996-08-07","Materials","N/A"
"HRZ","HORIZON MINERALS LIMITED","1992-02-06","Materials",76676652
"HSC","HSC TECHNOLOGY GROUP LTD","2006-06-02","Software & Services",24272872
"HSN","HANSEN TECHNOLOGIES LIMITED","2000-06-01","Software & Services",1014072749
"HT1","HT&E LIMITED","1992-05-07","Media & Entertainment",503965461
"HT8","HARRIS TECHNOLOGY GROUP LIMITED","1999-06-24","Retailing",10738637
"HTA","HUTCHISON TELECOMMUNICATIONS (AUSTRALIA) LIMITED","1999-08-17","Telecommunication Services",1085800686
"HTG","HARVEST TECHNOLOGY GROUP LTD","2016-05-12","Technology Hardware & Equipment",70671185
"HUB","HUB24 LIMITED","2007-07-05","Diversified Financials",1866956711
"HUM","HUMM GROUP LIMITED","2006-12-12","Diversified Financials",349164164
"HVM","HAPPY VALLEY NUTRITION LIMITED","2020-01-23","Food, Beverage & Tobacco",11689125
"HVN","HARVEY NORMAN HOLDINGS LIMITED","1987-09-03","Retailing",5395208812
"HVY","HEAVY MINERALS LIMITED","2021-09-14","Materials",11044081
"HXG","HEXAGON ENERGY MATERIALS LIMITED","2008-10-30","Materials",14874561
"HXL","HEXIMA LIMITED.","2020-12-01","Pharmaceuticals, Biotechnology & Life Sciences",54287879
"HYD","HYDRIX LIMITED","2001-05-11","Technology Hardware & Equipment",17589609
"HZN","HORIZON OIL LIMITED","1981-06-30","Energy",213157300
"HZR","HAZER GROUP LIMITED","2015-12-02","Materials",127059811
"IAG","INSURANCE AUSTRALIA GROUP LIMITED","2000-08-08","Insurance",11265507941
"IAM","INCOME ASSET MANAGEMENT GROUP LIMITED.","1987-01-14","Diversified Financials",44195331
"IAP","IRONGATE GROUP","2019-05-28","Real Estate",1300933928
"IBC","IRONBARK CAPITAL LIMITED","1987-04-02","Not Applic",53424881
"IBG","IRONBARK ZINC LTD","2006-08-16","Materials",41827278
"IBX","IMAGION BIOSYSTEMS LIMITED","2017-06-22","Health Care Equipment & Services",47091178
"ICE","ICETANA LIMITED","2019-12-23","Software & Services",5636073
"ICG","INCA MINERALS LIMITED","2008-06-19","Materials",40451034
"ICI","ICANDY INTERACTIVE LIMITED","2016-02-04","Media & Entertainment",91207073
"ICL","ICENI GOLD LIMITED","2021-04-14","Materials",27114286
"ICN","ICON ENERGY LIMITED","1997-09-22","Energy",13585770
"ICR","INTELICARE HOLDINGS LIMITED","2020-05-25","Health Care Equipment & Services",8429648
"ICS","ICSGLOBAL LIMITED","1999-12-23","Health Care Equipment & Services","N/A"
"ICT","ICOLLEGE LIMITED","2009-08-24","Consumer Services",119102800
"ID8","IDENTITII LIMITED","2018-10-17","Software & Services",12025227
"IDA","INDIANA RESOURCES LIMITED","1986-07-17","Materials",24618206
"IDT","IDT AUSTRALIA LIMITED","1991-02-18","Pharmaceuticals, Biotechnology & Life Sciences",39768597
"IDX","INTEGRAL DIAGNOSTICS LIMITED","2015-10-21","Health Care Equipment & Services",870469029
"IEC","INTRA ENERGY CORPORATION LIMITED","2007-07-04","Energy",6443586
"IEL","IDP EDUCATION LIMITED","2015-11-26","Consumer Services",6359982421
"IEQ","INTERNATIONAL EQUITIES CORPORATION LIMITED.","1993-03-11","Real Estate",4487825
"IFL","INSIGNIA FINANCIAL LTD","2003-12-05","Diversified Financials",2111969677
"IFM","INFOMEDIA LTD","2000-08-16","Software & Services",620007863
"IFT","INFRATIL LIMITED.","2010-08-30","Utilities",5243010731
"IG6","INTERNATIONAL GRAPHITE LIMITED","2022-04-07","Capital Goods",51199082
"IGL","IVE GROUP LIMITED","2015-12-16","Media & Entertainment",251140659
"IGN","IGNITE LIMITED","1997-01-16","Commercial & Professional Services",11645683
"IGO","IGO LIMITED","2002-01-17","Materials",8398100046
"IHL","INCANNEX HEALTHCARE LIMITED","2007-05-23","Pharmaceuticals, Biotechnology & Life Sciences",575551044
"IHR","INTELLIHR LIMITED","2018-01-23","Software & Services",33914091
"IIQ","INOVIQ LTD","1991-04-18","Health Care Equipment & Services",54291034
"IKE","IKEGPS GROUP LIMITED","2016-11-21","Technology Hardware & Equipment",101658104
"IKW","IKWEZI MINING LIMITED","2011-07-19","Energy",73779703
"ILA","ISLAND PHARMACEUTICALS LIMITED","2021-04-13","Pharmaceuticals, Biotechnology & Life Sciences",11783928
"ILU","ILUKA RESOURCES LIMITED","1962-06-30","Materials",4221152648
"IMA","IMAGE RESOURCES NL","2002-07-04","Materials",214402644
"IMB","INTELLIGENT MONITORING GROUP LIMITED","1994-03-03","Commercial & Professional Services",11970750
"IMC","IMMURON LIMITED","1999-04-30","Pharmaceuticals, Biotechnology & Life Sciences",22779835
"IMD","IMDEX LIMITED","1987-09-24","Materials",919769568
"IME","IMEXHS LIMITED","2005-12-14","Health Care Equipment & Services",23166927
"IMI","INFINITY MINING LIMITED","2021-12-22","Materials",17409988
"IMM","IMMUTEP LIMITED","1988-06-23","Pharmaceuticals, Biotechnology & Life Sciences",333502329
"IMR","IMRICOR MEDICAL SYSTEMS INC.","2019-08-30","Health Care Equipment & Services",49436408
"IMS","IMPELUS LIMITED","2000-05-11","Media & Entertainment","N/A"
"IMU","IMUGENE LIMITED","1993-11-24","Pharmaceuticals, Biotechnology & Life Sciences",1169759546
"INA","INGENIA COMMUNITIES GROUP","2004-07-01","Real Estate",1630333056
"IND","INDUSTRIAL MINERALS LTD","2021-07-13","Materials",16077750
"INF","INFINITY LITHIUM CORPORATION LIMITED","2011-04-15","Materials",53927827
"ING","INGHAMS GROUP LIMITED","2016-11-07","Food, Beverage & Tobacco",1048136475
"INL","INNLANZ LIMITED","2019-02-22","Retailing",18795816
"INP","INCENTIAPAY LIMITED","2014-09-09","Retailing",18975954
"INR","IONEER LTD","2007-12-19","Materials",1056106207
"INV","INVESTSMART GROUP LIMITED","2005-04-21","Diversified Financials",39685547
"IOD","IODM LIMITED","2003-11-18","Software & Services",151185453
"IOU","IOUPAY LIMITED","2000-10-12","Media & Entertainment",44664377
"IPB","IPB PETROLEUM LIMITED","2013-04-30","Energy",5052823
"IPC","IMPERIAL PACIFIC LIMITED","1971-07-28","Diversified Financials",7120291
"IPD","IMPEDIMED LIMITED","2007-10-24","Health Care Equipment & Services",160009176
"IPG","IPD GROUP LTD","2021-12-17","Capital Goods",138057219
"IPH","IPH LIMITED","2014-11-19","Commercial & Professional Services",1735236510
"IPL","INCITEC PIVOT LIMITED","2003-07-28","Materials",7419299611
"IPT","IMPACT MINERALS LIMITED","2006-11-29","Materials",24095077
"IPTNA","IMPACT MINERALS LIMITED","2006-11-29","Materials",24095077
"IPX","IPERIONX LIMITED","2018-04-16","Materials",117140890
"IQ3","IQ3CORP LIMITED","2015-05-18","Diversified Financials","N/A"
"IR1","IRIS METALS LIMITED","2021-09-23","Materials","N/A"
"IRD","IRON ROAD LIMITED","2008-06-12","Materials",143737435
"IRE","IRESS LIMITED","2000-11-03","Software & Services",1949509022
"IRI","INTEGRATED RESEARCH LIMITED","2000-12-13","Software & Services",99181205
"IRX","INHALERX LIMITED","2017-01-11","Health Care Equipment & Services",13814290
"IS3","I SYNERGY GROUP LIMITED","2017-03-30","Software & Services",23356144
"ISU","ISELECT LIMITED.","2013-06-24","Consumer Services",39614314
"ISX","ISIGNTHIS LTD","1998-12-07","Software & Services","N/A"
"ITM","ITECH MINERALS LTD","2021-10-21","Materials",49963334
"IVC","INVOCARE LIMITED","2003-12-04","Consumer Services",1763303372
"IVO","INVIGOR GROUP LIMITED","1999-12-03","Media & Entertainment",4749196
"IVR","INVESTIGATOR RESOURCES LTD","2007-04-03","Materials",66615683
"IVT","INVENTIS LIMITED","1999-04-14","Commercial & Professional Services",6276322
"IVX","INVION LIMITED","2010-02-15","Pharmaceuticals, Biotechnology & Life Sciences",76998164
"IVZ","INVICTUS ENERGY LTD","2012-01-19","Energy",185486809
"IXC","INVEX THERAPEUTICS LTD","2019-07-05","Pharmaceuticals, Biotechnology & Life Sciences",43589232
"IXR","IONIC RARE EARTHS LIMITED","1999-12-10","Materials",205248061
"IXU","IXUP LIMITED","2017-11-15","Software & Services",66753626
"JAL","JAMESON RESOURCES LIMITED","2007-12-18","Materials",25767045
"JAN","JANISON EDUCATION GROUP LIMITED","2000-09-12","Software & Services",164920032
"JAT","JATCORP LIMITED","2008-01-30","Retailing",27834320
"JAV","JAVELIN MINERALS LIMITED","2012-10-09","Materials",9354153
"JAY","JAYRIDE GROUP LIMITED","2018-01-29","Retailing",24693796
"JBH","JB HI-FI LIMITED","2003-10-23","Retailing",4908002407
"JCS","JCURVE SOLUTIONS LTD","2000-12-08","Software & Services",21999010
